alt,lat,tilt_deg,landed,final_alt,landing_vel,final_att,lateral_err,control_effort,flight_time
80,20,0,0,0.0,99.0,99.0,99.0,99.0,0.0
80,20,5,0,0.0,99.0,99.0,99.0,99.0,0.0
80,20,10,0,0.0,99.0,99.0,99.0,99.0,0.0
80,20,15,0,0.0,99.0,99.0,99.0,99.0,0.0
80,20,20,0,0.0,99.0,99.0,99.0,99.0,0.0
80,20,25,0,0.0,99.0,99.0,99.0,99.0,0.0
80,20,30,0,0.0,99.0,99.0,99.0,99.0,0.0
80,30,0,0,0.0,99.0,99.0,99.0,99.0,0.0
80,30,5,0,0.0,99.0,99.0,99.0,99.0,0.0
80,30,10,0,0.0,99.0,99.0,99.0,99.0,0.0
80,30,15,0,0.0,99.0,99.0,99.0,99.0,0.0
80,30,20,0,0.0,99.0,99.0,99.0,99.0,0.0
80,30,25,0,0.0,99.0,99.0,99.0,99.0,0.0
80,30,30,0,0.0,99.0,99.0,99.0,99.0,0.0
80,40,0,0,0.0,99.0,99.0,99.0,99.0,0.0
80,40,5,0,0.0,99.0,99.0,99.0,99.0,0.0
80,40,10,0,0.0,99.0,99.0,99.0,99.0,0.0
80,40,15,0,0.0,99.0,99.0,99.0,99.0,0.0
80,40,20,0,0.0,99.0,99.0,99.0,99.0,0.0
80,40,25,0,0.0,99.0,99.0,99.0,99.0,0.0
80,40,30,0,0.0,99.0,99.0,99.0,99.0,0.0
80,50,0,0,0.0,99.0,99.0,99.0,99.0,0.0
80,50,5,0,0.0,99.0,99.0,99.0,99.0,0.0
80,50,10,0,0.0,99.0,99.0,99.0,99.0,0.0
80,50,15,0,0.0,99.0,99.0,99.0,99.0,0.0
80,50,20,0,0.0,99.0,99.0,99.0,99.0,0.0
80,50,25,0,0.0,99.0,99.0,99.0,99.0,0.0
80,50,30,0,0.0,99.0,99.0,99.0,99.0,0.0
100,0,0,0,0.0,99.0,99.0,99.0,99.0,0.0
100,0,5,0,0.0,99.0,99.0,99.0,99.0,0.0
100,0,10,0,0.0,99.0,99.0,99.0,99.0,0.0
100,0,15,0,0.0,99.0,99.0,99.0,99.0,0.0
100,0,20,0,0.0,99.0,99.0,99.0,99.0,0.0
100,0,25,0,0.0,99.0,99.0,99.0,99.0,0.0
100,0,30,0,0.0,99.0,99.0,99.0,99.0,0.0
100,10,0,0,0.0,99.0,99.0,99.0,99.0,0.0
100,10,5,0,0.0,99.0,99.0,99.0,99.0,0.0
100,10,10,0,0.0,99.0,99.0,99.0,99.0,0.0
100,10,15,0,0.0,99.0,99.0,99.0,99.0,0.0
100,10,20,0,0.0,99.0,99.0,99.0,99.0,0.0
100,10,25,0,0.0,99.0,99.0,99.0,99.0,0.0
100,10,30,0,0.0,99.0,99.0,99.0,99.0,0.0
100,20,0,0,0.0,99.0,99.0,99.0,99.0,0.0
100,20,5,0,0.0,99.0,99.0,99.0,99.0,0.0
100,20,10,0,0.0,99.0,99.0,99.0,99.0,0.0
100,20,15,0,0.0,99.0,99.0,99.0,99.0,0.0
100,20,20,0,0.0,99.0,99.0,99.0,99.0,0.0
100,20,25,0,0.0,99.0,99.0,99.0,99.0,0.0
100,20,30,0,0.0,99.0,99.0,99.0,99.0,0.0
100,30,0,0,0.0,99.0,99.0,99.0,99.0,0.0
100,30,5,0,0.0,99.0,99.0,99.0,99.0,0.0
100,30,10,0,0.0,99.0,99.0,99.0,99.0,0.0
100,30,15,0,0.0,99.0,99.0,99.0,99.0,0.0
100,30,20,0,0.0,99.0,99.0,99.0,99.0,0.0
100,30,25,0,0.0,99.0,99.0,99.0,99.0,0.0
100,30,30,0,0.0,99.0,99.0,99.0,99.0,0.0
100,40,0,0,0.0,99.0,99.0,99.0,99.0,0.0
100,40,5,0,0.0,99.0,99.0,99.0,99.0,0.0
100,40,10,0,0.0,99.0,99.0,99.0,99.0,0.0
100,40,15,0,0.0,99.0,99.0,99.0,99.0,0.0
100,40,20,0,0.0,99.0,99.0,99.0,99.0,0.0
100,40,25,0,0.0,99.0,99.0,99.0,99.0,0.0
100,40,30,0,0.0,99.0,99.0,99.0,99.0,0.0
100,50,0,0,0.0,99.0,99.0,99.0,99.0,0.0
100,50,5,0,0.0,99.0,99.0,99.0,99.0,0.0
100,50,10,0,0.0,99.0,99.0,99.0,99.0,0.0
100,50,15,0,0.0,99.0,99.0,99.0,99.0,0.0
100,50,20,0,0.0,99.0,99.0,99.0,99.0,0.0
100,50,25,0,0.0,99.0,99.0,99.0,99.0,0.0
100,50,30,0,0.0,99.0,99.0,99.0,99.0,0.0
120,0,0,0,0.0,99.0,99.0,99.0,99.0,0.0
120,0,5,0,0.0,99.0,99.0,99.0,99.0,0.0
120,0,10,0,0.0,99.0,99.0,99.0,99.0,0.0
120,0,15,0,0.0,99.0,99.0,99.0,99.0,0.0
120,0,20,0,0.0,99.0,99.0,99.0,99.0,0.0
120,0,25,0,0.0,99.0,99.0,99.0,99.0,0.0
120,0,30,0,0.0,99.0,99.0,99.0,99.0,0.0
120,10,0,0,0.0,99.0,99.0,99.0,99.0,0.0
120,10,5,0,0.0,99.0,99.0,99.0,99.0,0.0
120,10,10,0,0.0,99.0,99.0,99.0,99.0,0.0
120,10,15,0,0.0,99.0,99.0,99.0,99.0,0.0
120,10,20,0,0.0,99.0,99.0,99.0,99.0,0.0
120,10,25,0,0.0,99.0,99.0,99.0,99.0,0.0
120,10,30,0,0.0,99.0,99.0,99.0,99.0,0.0
120,20,0,0,0.0,99.0,99.0,99.0,99.0,0.0
120,20,5,0,0.0,99.0,99.0,99.0,99.0,0.0
120,20,10,0,0.0,99.0,99.0,99.0,99.0,0.0
120,20,15,0,0.0,99.0,99.0,99.0,99.0,0.0
120,20,20,0,0.0,99.0,99.0,99.0,99.0,0.0
120,20,25,0,0.0,99.0,99.0,99.0,99.0,0.0
120,20,30,0,0.0,99.0,99.0,99.0,99.0,0.0
120,30,0,0,0.0,99.0,99.0,99.0,99.0,0.0
120,30,5,0,0.0,99.0,99.0,99.0,99.0,0.0
120,30,10,0,0.0,99.0,99.0,99.0,99.0,0.0
120,30,15,0,0.0,99.0,99.0,99.0,99.0,0.0
120,30,20,0,0.0,99.0,99.0,99.0,99.0,0.0
120,30,25,0,0.0,99.0,99.0,99.0,99.0,0.0
120,30,30,0,0.0,99.0,99.0,99.0,99.0,0.0
120,40,0,0,0.0,99.0,99.0,99.0,99.0,0.0
120,40,5,0,0.0,99.0,99.0,99.0,99.0,0.0
120,40,10,0,0.0,99.0,99.0,99.0,99.0,0.0
120,40,15,0,0.0,99.0,99.0,99.0,99.0,0.0
120,40,20,0,0.0,99.0,99.0,99.0,99.0,0.0
120,40,25,0,0.0,99.0,99.0,99.0,99.0,0.0
120,40,30,0,0.0,99.0,99.0,99.0,99.0,0.0
120,50,0,0,0.0,99.0,99.0,99.0,99.0,0.0
120,50,5,0,0.0,99.0,99.0,99.0,99.0,0.0
120,50,10,0,0.0,99.0,99.0,99.0,99.0,0.0
120,50,15,0,0.0,99.0,99.0,99.0,99.0,0.0
120,50,20,0,0.0,99.0,99.0,99.0,99.0,0.0
120,50,25,0,0.0,99.0,99.0,99.0,99.0,0.0
120,50,30,0,0.0,99.0,99.0,99.0,99.0,0.0
150,0,0,0,0.0,99.0,99.0,99.0,99.0,0.0
150,0,5,0,0.0,99.0,99.0,99.0,99.0,0.0
150,0,10,0,0.0,99.0,99.0,99.0,99.0,0.0
150,0,15,0,0.0,99.0,99.0,99.0,99.0,0.0
150,0,20,0,0.0,99.0,99.0,99.0,99.0,0.0
150,0,25,0,0.0,99.0,99.0,99.0,99.0,0.0
150,0,30,0,0.0,99.0,99.0,99.0,99.0,0.0
150,10,0,0,0.0,99.0,99.0,99.0,99.0,0.0
150,10,5,0,0.0,99.0,99.0,99.0,99.0,0.0
150,10,10,0,0.0,99.0,99.0,99.0,99.0,0.0
150,10,15,0,0.0,99.0,99.0,99.0,99.0,0.0
150,10,20,0,0.0,99.0,99.0,99.0,99.0,0.0
150,10,25,0,0.0,99.0,99.0,99.0,99.0,0.0
150,10,30,0,0.0,99.0,99.0,99.0,99.0,0.0
150,20,0,0,0.0,99.0,99.0,99.0,99.0,0.0
150,20,5,0,0.0,99.0,99.0,99.0,99.0,0.0
150,20,10,0,0.0,99.0,99.0,99.0,99.0,0.0
150,20,15,0,0.0,99.0,99.0,99.0,99.0,0.0
150,20,20,0,0.0,99.0,99.0,99.0,99.0,0.0
150,20,25,0,0.0,99.0,99.0,99.0,99.0,0.0
150,20,30,0,0.0,99.0,99.0,99.0,99.0,0.0
150,30,0,0,0.0,99.0,99.0,99.0,99.0,0.0
150,30,5,0,0.0,99.0,99.0,99.0,99.0,0.0
150,30,10,0,0.0,99.0,99.0,99.0,99.0,0.0
150,30,15,0,0.0,99.0,99.0,99.0,99.0,0.0
150,30,20,0,0.0,99.0,99.0,99.0,99.0,0.0
150,30,25,0,0.0,99.0,99.0,99.0,99.0,0.0
150,30,30,0,0.0,99.0,99.0,99.0,99.0,0.0
150,40,0,0,0.0,99.0,99.0,99.0,99.0,0.0
150,40,5,0,0.0,99.0,99.0,99.0,99.0,0.0
150,40,10,0,0.0,99.0,99.0,99.0,99.0,0.0
150,40,15,0,0.0,99.0,99.0,99.0,99.0,0.0
150,40,20,0,0.0,99.0,99.0,99.0,99.0,0.0
150,40,25,0,0.0,99.0,99.0,99.0,99.0,0.0
150,40,30,0,0.0,99.0,99.0,99.0,99.0,0.0
150,50,0,0,0.0,99.0,99.0,99.0,99.0,0.0
150,50,5,0,0.0,99.0,99.0,99.0,99.0,0.0
150,50,10,0,0.0,99.0,99.0,99.0,99.0,0.0
150,50,15,0,0.0,99.0,99.0,99.0,99.0,0.0
150,50,20,0,0.0,99.0,99.0,99.0,99.0,0.0
150,50,25,0,0.0,99.0,99.0,99.0,99.0,0.0
150,50,30,0,0.0,99.0,99.0,99.0,99.0,0.0
